MC	<p>0ba7_5980</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	Bacteria are prokaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong>.	Correct	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect
MC	<p>0ba7_cee7</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> come from other living <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> form through spontaneous generation.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect
MC	<p>0ba7_0448</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Organs</span></strong></span></strong> are the basic structural and functional units of <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">life</span></strong></span></strong>.	Correct	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_ca41</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require water for survival.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> come from previously existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic building blocks of all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect
MC	<p>0ba7_8d50</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All living <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong> by division.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	The <strong><span style="color: MediumBlue;">organ</span> </strong>is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">life</span></strong></span></strong>.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic unit of structure and function in all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_1ab3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> must have a<strong> <span style="color: MediumBlue;">cell</span></strong> wall.	Correct	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect
MC	<p>0ba7_c71d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The <strong><span style="color: MediumBlue;">organ</span> </strong>is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">life</span></strong></span></strong>.	Correct	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> come from other living <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_ae73</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require water for survival.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect
MC	<p>0ba7_4e68</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> contain a nucleus.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect
MC	<p>0ba7_0b15</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong> by division.	Incorrect	All known <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> are made primarily of water.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect
MC	<p>0ba7_eb9d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> have a nucleus which divides.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>0ba7_7d72</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> contain a nucleus.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect
MC	<p>0ba7_255a</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> of <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect	Eukaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> are complex.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect
